date,countries,tracker
01/01/2005,AM,39.18670833292606
01/02/2005,AM,4.603468014060448
01/03/2005,AM,-5.34933240525554
01/04/2005,AM,15.49874567190587
01/05/2005,AM,15.415551205316934
01/06/2005,AM,24.796499720381604
01/07/2005,AM,4.957660089998965
01/08/2005,AM,17.01054874515915
01/09/2005,AM,29.49032520305021
01/10/2005,AM,21.541310359693362
01/11/2005,AM,11.912455186073917
01/12/2005,AM,29.597718478530304
01/01/2006,AM,13.851091647876874
01/02/2006,AM,10.742950982801526
01/03/2006,AM,16.89401896017791
01/04/2006,AM,3.469007932659251
01/05/2006,AM,3.4148384745836706
01/06/2006,AM,36.83542357857006
01/07/2006,AM,10.43229911776855
01/08/2006,AM,11.179211742124116
01/09/2006,AM,25.444515538176013
01/10/2006,AM,13.428333767779762
01/11/2006,AM,33.25405758458044
01/12/2006,AM,4.81901701759257
01/01/2007,AM,1.9341008765239742
01/02/2007,AM,19.69775100469549
01/03/2007,AM,11.47521519360076
01/04/2007,AM,17.07143008598531
01/05/2007,AM,16.449234501141312
01/06/2007,AM,13.29701156167767
01/07/2007,AM,18.336314634912462
01/08/2007,AM,24.788212432367267
01/09/2007,AM,6.76872024777326
01/10/2007,AM,27.244479588677972
01/11/2007,AM,11.198603169114444
01/12/2007,AM,16.935533300533155
01/01/2008,AM,18.300155381960806
01/02/2008,AM,20.265542650464262
01/03/2008,AM,15.750094927943953
01/04/2008,AM,8.816807826404048
01/05/2008,AM,19.429760371517652
01/06/2008,AM,12.155309901428662
01/07/2008,AM,22.771005648723225
01/08/2008,AM,3.4722666645116043
01/09/2008,AM,25.208952752078538
01/10/2008,AM,6.51349982138191
01/11/2008,AM,10.265847560769881
01/12/2008,AM,-0.16160570720616096
01/01/2009,AM,3.443183726544435
01/02/2009,AM,-1.793659569661481
01/03/2009,AM,11.620480067980129
01/04/2009,AM,8.332053541501457
01/05/2009,AM,-13.61753791331498
01/06/2009,AM,-0.23736448665142706
01/07/2009,AM,-13.45265593251209
01/08/2009,AM,-9.686637428852773
01/09/2009,AM,-0.693626326353326
01/10/2009,AM,-7.841006361532396
01/11/2009,AM,-2.363000092207639
01/12/2009,AM,4.134477465875763
01/01/2010,AM,12.123862263910379
01/02/2010,AM,14.392046095492162
01/03/2010,AM,3.667172150963861
01/04/2010,AM,16.29686013854485
01/05/2010,AM,15.391557403423988
01/06/2010,AM,7.288342591566976
01/07/2010,AM,12.141101633597344
01/08/2010,AM,-5.379685399823437
01/09/2010,AM,-4.045628996598525
01/10/2010,AM,10.660532472199218
01/11/2010,AM,9.67875825711416
01/12/2010,AM,12.135347678159787
01/01/2011,AM,5.97814562353649
01/02/2011,AM,10.843742688691934
01/03/2011,AM,9.651740582591376
01/04/2011,AM,4.8499928521356335
01/05/2011,AM,5.6771210476014335
01/06/2011,AM,14.013029965512931
01/07/2011,AM,8.607708780208654
01/08/2011,AM,19.50688987546287
01/09/2011,AM,13.464750560059253
01/10/2011,AM,11.041913629880185
01/11/2011,AM,5.9085967769376655
01/12/2011,AM,7.686819856920796
01/01/2012,AM,2.163724941140803
01/02/2012,AM,5.771993854891302
01/03/2012,AM,11.88922813967904
01/04/2012,AM,5.317670505943147
01/05/2012,AM,17.621060266983353
01/06/2012,AM,7.6718648971412176
01/07/2012,AM,12.86191008782007
01/08/2012,AM,6.3857450780059235
01/09/2012,AM,6.7717922165986035
01/10/2012,AM,8.070302669120498
01/11/2012,AM,10.886885157972108
01/12/2012,AM,3.174394386788926
01/01/2013,AM,10.346806660495545
01/02/2013,AM,8.760404002266148
01/03/2013,AM,0.9697083706259848
01/04/2013,AM,5.2705402811643625
01/05/2013,AM,0.9932023132335605
01/06/2013,AM,6.397012321027773
01/07/2013,AM,2.564891976741601
01/08/2013,AM,9.755822223391743
01/09/2013,AM,3.054577495989875
01/10/2013,AM,4.021655614410194
01/11/2013,AM,5.625255519571625
01/12/2013,AM,6.255382921038045
01/01/2014,AM,3.265983103415684
01/02/2014,AM,6.052374539203261
01/03/2014,AM,13.756512577680343
01/04/2014,AM,3.9823550943291166
01/05/2014,AM,4.387548012948831
01/06/2014,AM,7.483982370367147
01/07/2014,AM,7.500002524264238
01/08/2014,AM,2.859072434428886
01/09/2014,AM,6.93546872691857
01/10/2014,AM,5.903894505460478
01/11/2014,AM,0.17849344759469
01/12/2014,AM,6.775945923355119
01/01/2015,AM,8.188805585490318
01/02/2015,AM,2.0363722214983278
01/03/2015,AM,1.918750664480821
01/04/2015,AM,9.526238446258285
01/05/2015,AM,2.4345250499408024
01/06/2015,AM,3.729639003850509
01/07/2015,AM,-0.031939582211922855
01/08/2015,AM,5.423054733313713
01/09/2015,AM,7.852058916671345
01/10/2015,AM,4.673945579482608
01/11/2015,AM,3.85130239127472
01/12/2015,AM,5.408459480112156
01/01/2016,AM,0.3714471750297143
01/02/2016,AM,8.017844726009233
01/03/2016,AM,5.506514374882974
01/04/2016,AM,1.603057789875312
01/05/2016,AM,1.73922652226237
