date,countries,tracker
2014-09-30,BN,-0.17662871708467112
2014-12-31,BN,-0.6280464700030008
2015-03-31,BN,-3.337084445235619
2015-06-30,BN,0.1599314802685891
2015-09-30,BN,1.2897483516001504
2015-12-31,BN,1.7192187263573941
2016-03-31,BN,1.3230153989929614
2016-06-30,BN,-2.888454385421009
2016-09-30,BN,-2.6945694430254656
2016-12-31,BN,-2.4297588828771164
2017-03-31,BN,-0.4786193888078496
2017-06-30,BN,-0.04207354891311536
2017-09-30,BN,2.453400516792783
2017-12-31,BN,1.2031904156650868
2018-03-31,BN,0.9239277088858092
2018-06-30,BN,-1.6150607980437315
2018-09-30,BN,-1.2156589299555953
2018-12-31,BN,0.4879303680408745
2019-03-31,BN,-0.6767181193164414
2019-06-30,BN,3.0167193046156187
2019-09-30,BN,0.22996323741562516
2019-12-31,BN,2.7397481887994166
2020-03-31,BN,-1.3585649115164666
2020-06-30,BN,-2.722271353105139
2020-09-30,BN,-2.402822338491653
2020-12-31,BN,-6.427872673288226
2021-03-31,BN,-2.20036327571227
2021-06-30,BN,2.7434761125148617
2021-09-30,BN,-2.483081295038926
2021-12-31,BN,0.7272067144717557
2005-03-31,CN,10.192161565913196
2005-06-30,CN,9.874636439215944
2005-09-30,CN,12.494055591878393
2005-12-31,CN,14.124647531635617
2006-03-31,CN,13.561556400352071
2006-06-30,CN,13.689189462801261
2006-09-30,CN,11.94650894349986
2006-12-31,CN,11.675577940737716
2007-03-31,CN,14.245025209555465
2007-06-30,CN,14.299450662459957
2007-09-30,CN,14.811587345973166
2007-12-31,CN,12.133921084666135
2008-03-31,CN,10.088857885775967
2008-06-30,CN,9.060268287443092
2008-09-30,CN,9.053213657937834
2008-12-31,CN,6.865626978816105
2009-03-31,CN,7.514693867655751
2009-06-30,CN,7.993801803418134
2009-09-30,CN,10.720863624643842
2009-12-31,CN,11.998326937795271
2010-03-31,CN,9.86380371551328
2010-06-30,CN,10.342578026658913
2010-09-30,CN,10.765531510080645
2010-12-31,CN,10.851869594339746
2011-03-31,CN,9.661420250289108
2011-06-30,CN,9.790821317995247
2011-09-30,CN,8.850714504807964
2011-12-31,CN,8.004462134142628
2012-03-31,CN,8.204493233178
2012-06-30,CN,8.687901052069204
2012-09-30,CN,8.288762702925245
2012-12-31,CN,9.871238702064726
2013-03-31,CN,9.458223057335374
2013-06-30,CN,9.086438062545325
2013-09-30,CN,8.235656953499747
2013-12-31,CN,8.424944385252772
2014-03-31,CN,8.331509509655106
2014-06-30,CN,7.810109260808164
2014-09-30,CN,7.099232945474549
2014-12-31,CN,8.693522425006714
2015-03-31,CN,7.666346100151657
2015-06-30,CN,7.2628384581378755
2015-09-30,CN,8.91345347405573
2015-12-31,CN,9.26789126210553
2016-03-31,CN,6.107111520188466
2016-06-30,CN,7.162969721129409
2016-09-30,CN,7.14222531257519
2016-12-31,CN,7.093904940386859
2017-03-31,CN,7.75383639732766
2017-06-30,CN,6.793726790686657
2017-09-30,CN,7.243030754887182
2017-12-31,CN,6.951485616496382
2018-03-31,CN,6.3161926403796524
2018-06-30,CN,7.267595303519817
2018-09-30,CN,6.932584186940501
2018-12-31,CN,6.850235070529071
2019-03-31,CN,6.754870668600288
2019-06-30,CN,7.930601196677111
2019-09-30,CN,7.2348563717976315
2019-12-31,CN,7.876574954228613
2020-03-31,CN,0.31423110448061564
2020-06-30,CN,6.16524679655702
2020-09-30,CN,5.202399528396013
2020-12-31,CN,8.392259817030524
2021-03-31,CN,14.664033742505913
2021-06-30,CN,7.903134838860012
2021-09-30,CN,8.24040694269043
2021-12-31,CN,6.575561345364354
2005-03-31,GE,9.077563502147807
2005-06-30,GE,8.909966102360926
2005-09-30,GE,12.63705634952193
2005-12-31,GE,7.89185573244197
2006-03-31,GE,7.949277069409449
2006-06-30,GE,8.069299001250425
2006-09-30,GE,10.994434316062915
2006-12-31,GE,10.923738258932216
2007-03-31,GE,12.039411414264478
2007-06-30,GE,13.436730488884246
2007-09-30,GE,12.575209789823292
2007-12-31,GE,11.617026860085893
2008-03-31,GE,11.559577854097718
2008-06-30,GE,8.071843504524846
2008-09-30,GE,-4.435096281668569
2008-12-31,GE,-0.8039149644754309
2009-03-31,GE,-4.9421641152417415
2009-06-30,GE,-8.03758307160842
2009-09-30,GE,-0.16026946107267404
2009-12-31,GE,1.3456544417367349
2010-03-31,GE,2.922627164624706
2010-06-30,GE,12.211135842040417
2010-09-30,GE,14.846714348386433
2010-12-31,GE,15.776947872476063
2011-03-31,GE,6.754539956138051
2011-06-30,GE,7.227749477273214
2011-09-30,GE,7.675209034775302
2011-12-31,GE,6.934170975788193
2012-03-31,GE,7.374819754962429
2012-06-30,GE,7.245006425071244
2012-09-30,GE,4.884142748734495
2012-12-31,GE,3.77195924875245
2013-03-31,GE,4.979846613746013
2013-06-30,GE,3.2482023654568337
2013-09-30,GE,4.502800408314771
2013-12-31,GE,5.115710112006726
2014-03-31,GE,4.851513749749898
2014-06-30,GE,5.154055576644899
2014-09-30,GE,3.385900213449678
2014-12-31,GE,3.6606204755189693
2015-03-31,GE,4.058347724285163
2015-06-30,GE,4.531249533724827
2015-09-30,GE,2.3640728219966682
2015-12-31,GE,1.7727451346846
2016-03-31,GE,2.0276377474617444
2016-06-30,GE,2.8099113554313404
2016-09-30,GE,2.853585070016007
2016-12-31,GE,3.720017636478474
2017-03-31,GE,2.5904699759029355
2017-06-30,GE,4.702832194175958
2017-09-30,GE,3.730232970486631
2017-12-31,GE,4.278213094855206
2018-03-31,GE,6.89502163839457
2018-06-30,GE,5.118516767051913
2018-09-30,GE,4.207464251180371
2018-12-31,GE,3.7830787279663616
2019-03-31,GE,3.8936434635529364
2019-06-30,GE,4.0996299866127375
2019-09-30,GE,4.505061853580325
2019-12-31,GE,3.974330258017184
2020-03-31,GE,2.1237973625778923
2020-06-30,GE,-9.63822195803675
2020-09-30,GE,-6.994504573888824
2020-12-31,GE,-6.3172240814849
2021-03-31,GE,-3.016120222787083
2021-06-30,GE,6.2250442019504515
2021-09-30,GE,6.307063407826716
2021-12-31,GE,6.119014980427383
2005-03-31,HK,7.208399815498813
2005-06-30,HK,6.917902370946709
2005-09-30,HK,8.407654898783408
2005-12-31,HK,6.6855440371429635
2006-03-31,HK,8.526315334553363
2006-06-30,HK,6.377432024660921
2006-09-30,HK,7.717496851245227
2006-12-31,HK,6.0862049620857706
2007-03-31,HK,5.6757912157
2007-06-30,HK,3.536058013059376
2007-09-30,HK,6.463550771020212
2007-12-31,HK,6.239459725428884
2008-03-31,HK,4.909050174986744
2008-06-30,HK,3.7949881141529795
2008-09-30,HK,1.307755394803434
2008-12-31,HK,-2.8993146700202295
2009-03-31,HK,-6.974741895083676
2009-06-30,HK,-2.0783705600651703
2009-09-30,HK,-2.221487056263073
2009-12-31,HK,3.3452894903147685
2010-03-31,HK,7.27241544002445
2010-06-30,HK,5.716213915182941
2010-09-30,HK,6.642925083427019
2010-12-31,HK,6.480264330906666
2011-03-31,HK,7.068505779141937
2011-06-30,HK,3.554754410006074
2011-09-30,HK,4.885243630221769
2011-12-31,HK,2.9797243739400807
2012-03-31,HK,1.4782174913893684
2012-06-30,HK,1.4580184295932832
2012-09-30,HK,2.035349436839047
2012-12-31,HK,2.5078879394331373
2013-03-31,HK,2.8079747539660533
2013-06-30,HK,2.6760244588323863
2013-09-30,HK,4.70276662656836
2013-12-31,HK,3.4607141101845413
2014-03-31,HK,3.6629633179549854
2014-06-30,HK,3.51293673793322
2014-09-30,HK,2.6214908729455915
2014-12-31,HK,2.318964106586516
2015-03-31,HK,2.3641169255252046
2015-06-30,HK,3.4551968100352233
2015-09-30,HK,1.2082051140020431
2015-12-31,HK,2.402187177067086
2016-03-31,HK,2.3142433094006014
2016-06-30,HK,1.3398676571013226
2016-09-30,HK,2.0928370460555237
2016-12-31,HK,3.2164082667171883
2017-03-31,HK,3.9763948197060905
2017-06-30,HK,5.271801225035267
2017-09-30,HK,4.5805138690458005
2017-12-31,HK,3.7394630198939844
2018-03-31,HK,3.018687461697068
2018-06-30,HK,2.6181586006459163
2018-09-30,HK,2.5213790936423313
2018-12-31,HK,1.1706544679597544
2019-03-31,HK,0.14004068379290588
2019-06-30,HK,-0.135767118924304
2019-09-30,HK,-1.55798616930435
2019-12-31,HK,-1.5553766840289547
2020-03-31,HK,-6.615094864322205
2020-06-30,HK,-9.32784654493665
2020-09-30,HK,-5.139214475074078
2020-12-31,HK,-3.2469643175259852
2021-03-31,HK,4.909667081999125
2021-06-30,HK,5.694360801031946
2021-09-30,HK,4.663391571086018
2021-12-31,HK,1.332873523031414
2005-03-31,ID,7.178847180567135
2005-06-30,ID,5.961503294510802
2005-09-30,ID,5.106808730820481
2005-12-31,ID,6.255873497100497
2006-03-31,ID,4.8167948144327095
2006-06-30,ID,5.189937040232627
2006-09-30,ID,6.004120350458802
2006-12-31,ID,5.620434023846732
2007-03-31,ID,6.436534043949054
2007-06-30,ID,6.5526005161643255
2007-09-30,ID,6.045848221808822
2007-12-31,ID,6.053904302851353
2008-03-31,ID,5.950468128955908
2008-06-30,ID,8.443866905178357
2008-09-30,ID,7.0775163393805105
2008-12-31,ID,5.085456644806821
2009-03-31,ID,3.8776897905764307
