date,countries,tracker
07/01/2018,VN,7.786242504
07/01/2018,MN,3.149356451
07/01/2018,TW,10.46417823
07/01/2018,AM,4.788650372
07/01/2018,PH,9.198132614
07/01/2018,KZ,4.018348873
07/01/2018,JP,6.500351326
07/01/2018,ID,8.740424616
07/01/2018,KG,18.06624389
14/01/2018,NZ,-0.900137913
14/01/2018,CN,12.38235445
14/01/2018,ID,7.776172292
14/01/2018,JP,12.87556453
14/01/2018,LK,8.01438801
14/01/2018,KZ,5.790162665
14/01/2018,TH,5.570725261
14/01/2018,IN,10.59526867
14/01/2018,PH,5.330558266
14/01/2018,KR,8.162100769
14/01/2018,MN,17.03151199
14/01/2018,MY,13.93829374
14/01/2018,HK,3.492424413
14/01/2018,GE,5.607103522
14/01/2018,VN,10.87960488
14/01/2018,KG,12.65739388
14/01/2018,SG,9.26427701
14/01/2018,TW,6.133277573
14/01/2018,AU,2.600751363
14/01/2018,BN,-0.041324191
14/01/2018,AM,9.623917965
14/01/2018,AZ,12.62960908
21/01/2018,MY,22.60875421
21/01/2018,BN,2.778984584
21/01/2018,TH,12.335628
21/01/2018,ID,10.11670165
21/01/2018,KZ,8.53892955
21/01/2018,AU,3.570969896
21/01/2018,PH,10.41207851
21/01/2018,MN,4.607853387
21/01/2018,SG,15.86763057
21/01/2018,LK,5.178291592
21/01/2018,GE,2.605731853
21/01/2018,JP,6.853957244
21/01/2018,TW,1.748818364
21/01/2018,VN,5.956844879
21/01/2018,HK,11.05986627
21/01/2018,AM,5.483791195
21/01/2018,NZ,2.940141714
21/01/2018,AZ,10.26126162
21/01/2018,KR,2.534282385
21/01/2018,CN,11.91877114
21/01/2018,IN,12.56483235
21/01/2018,KG,11.89665367
28/01/2018,BN,6.416744102
28/01/2018,TH,9.410959779
28/01/2018,IN,15.80831925
28/01/2018,ID,21.2083493
28/01/2018,KG,11.95972422
28/01/2018,KR,7.953643695
28/01/2018,LK,9.42422477
28/01/2018,VN,9.246810783
28/01/2018,GE,9.784634538
28/01/2018,KZ,6.762214595
28/01/2018,MN,13.16941099
28/01/2018,MY,7.602817978
28/01/2018,AU,5.235682891
28/01/2018,PH,5.702207024
28/01/2018,CN,24.91620077
28/01/2018,SG,16.06150318
28/01/2018,NZ,6.739643152
28/01/2018,HK,5.465342311
28/01/2018,AZ,2.199203343
28/01/2018,AM,4.234541503
28/01/2018,JP,7.450649506
28/01/2018,TW,7.123401113
04/02/2018,MN,10.00848663
04/02/2018,BN,-3.09864397
04/02/2018,HK,-3.600430312
04/02/2018,MY,16.26990061
04/02/2018,IN,20.87311877
04/02/2018,AZ,18.56156857
04/02/2018,NZ,10.59248454
04/02/2018,CN,15.04638633
04/02/2018,ID,5.483087929
04/02/2018,AU,4.048356356
04/02/2018,GE,9.168798331
04/02/2018,PH,9.983159522
04/02/2018,AM,6.206995617
04/02/2018,KG,28.93138505
04/02/2018,JP,12.46274832
04/02/2018,KR,0.586781014
04/02/2018,KZ,0.497910396
09/02/2018,LK,2.73921464
09/02/2018,TH,-0.531081102
09/02/2018,SG,5.984067958
09/02/2018,VN,8.32951684
09/02/2018,TW,7.275729341
11/02/2018,MY,10.20680431
11/02/2018,AZ,5.076169702
11/02/2018,KG,8.799648421
11/02/2018,ID,19.87935205
11/02/2018,HK,13.05933375
11/02/2018,BN,18.39286237
11/02/2018,AU,7.861736759
11/02/2018,AM,3.592728273
11/02/2018,NZ,6.830219235
11/02/2018,CN,10.25708532
11/02/2018,GE,11.4371439
11/02/2018,KZ,9.895067139
11/02/2018,PH,5.979289557
11/02/2018,MN,21.30704638
11/02/2018,KR,6.835601785
11/02/2018,IN,11.07312578
11/02/2018,JP,5.971855566
12/02/2018,TW,3.362046167
12/02/2018,TH,0.858647858
12/02/2018,VN,6.959795495
12/02/2018,LK,7.498536367
12/02/2018,SG,10.30027399
18/02/2018,TW,6.418051119
18/02/2018,VN,6.259846706
18/02/2018,KG,12.70917979
18/02/2018,PH,4.74088916
18/02/2018,MY,12.50424805
18/02/2018,HK,6.84667447
18/02/2018,KR,8.306116777
18/02/2018,LK,4.036812095
18/02/2018,BN,4.558163901
18/02/2018,NZ,5.749242065
18/02/2018,AZ,10.78454111
18/02/2018,IN,11.37941355
18/02/2018,ID,6.637832328
18/02/2018,AU,3.089351426
18/02/2018,AM,4.254245249
18/02/2018,TH,6.186751003
18/02/2018,GE,8.442778254
18/02/2018,CN,10.89826556
18/02/2018,JP,-0.947087892
18/02/2018,MN,10.14707557
18/02/2018,KZ,4.226300668
18/02/2018,SG,9.697319374
25/02/2018,GE,17.05972408
25/02/2018,CN,7.548655205
25/02/2018,NZ,7.90516388
25/02/2018,KR,13.73058891
25/02/2018,LK,2.999401082
25/02/2018,AU,8.855828791
25/02/2018,BN,9.386125839
25/02/2018,IN,9.054654864
25/02/2018,SG,3.164623035
25/02/2018,TW,8.87130284
25/02/2018,AM,1.062901954
25/02/2018,PH,8.077046011
25/02/2018,KZ,5.882462088
25/02/2018,JP,4.26982504
25/02/2018,MN,11.84473981
25/02/2018,HK,8.126058273
25/02/2018,TH,7.437408705
25/02/2018,VN,8.502604223
25/02/2018,KG,6.701322019
25/02/2018,AZ,5.828037368
25/02/2018,MY,7.946054849
25/02/2018,ID,9.761470627
04/03/2018,NZ,19.4917388
04/03/2018,KR,2.182221069
04/03/2018,KG,9.819387285
04/03/2018,AU,24.21647468
04/03/2018,AZ,5.97987838
04/03/2018,ID,20.05380591
04/03/2018,IN,7.408127248
04/03/2018,AM,9.404545894
04/03/2018,PH,7.190562896
04/03/2018,KZ,0.127384073
04/03/2018,MY,8.364943767
04/03/2018,JP,5.037399345
04/03/2018,MN,11.94529246
04/03/2018,HK,18.06127623
04/03/2018,CN,16.31174125
04/03/2018,GE,14.29190102
04/03/2018,BN,2.594326223
06/03/2018,VN,8.714926753
06/03/2018,TW,2.896833267
06/03/2018,SG,9.39691896
06/03/2018,TH,8.405884457
06/03/2018,LK,6.696248144
11/03/2018,PH,22.24386387
11/03/2018,BN,3.095782253
11/03/2018,AM,12.43057961
11/03/2018,KZ,13.95374157
11/03/2018,AZ,7.232105818
11/03/2018,KR,11.25177351
11/03/2018,ID,11.49067542
11/03/2018,AU,9.908658773
11/03/2018,MY,8.899028569
11/03/2018,KG,8.061463009
11/03/2018,GE,15.18164492
11/03/2018,NZ,4.941725417
11/03/2018,JP,11.13310551
11/03/2018,CN,19.64690289
11/03/2018,MN,4.318928108
11/03/2018,IN,12.29856423
11/03/2018,HK,7.264817606
18/03/2018,AU,-1.21389806
18/03/2018,HK,4.300242571
18/03/2018,TH,12.24995533
18/03/2018,GE,3.19121995
18/03/2018,AZ,7.252590092
18/03/2018,AM,4.961021867
18/03/2018,BN,7.389938614
18/03/2018,TW,8.813135698
18/03/2018,KG,5.191960671
18/03/2018,LK,5.037034363
18/03/2018,NZ,3.680450549
18/03/2018,SG,10.14433165
18/03/2018,MN,7.209234551
18/03/2018,CN,9.289103579
18/03/2018,JP,8.785559375
18/03/2018,ID,12.76844778
18/03/2018,MY,5.653094502
18/03/2018,VN,11.82174043
18/03/2018,KR,0.219010836
18/03/2018,KZ,7.234226567
18/03/2018,PH,7.192797883
18/03/2018,IN,10.24957771
25/03/2018,IN,13.83417372
25/03/2018,MY,7.501482332
25/03/2018,TW,3.222499717
25/03/2018,ID,16.20222569
25/03/2018,JP,7.812454213
25/03/2018,TH,10.11721576
25/03/2018,KZ,12.2418651
